date,suggester,idea
05-16-2026,Leo,Play a few games of Dota 2
05-16-2026,Alex,Listen to "Bridge Over Troubled Water" by Simon & Garfunkel
05-30-2026,Alex,Make an art piece
06-06-2026,Alex,"Write a genuine, heartfelt poem"
06-13-2026,Kam,Eat a meal outside and listen to nature
06-20-2026,Leo,Listen to an album you liked in middle school
06-27-2026,Leo,Work on a personal programming project
07-04-2026,Kam,Play a few matches of Deadlock
07-11-2026,Kam,Listen to SilvaGunner's live show from First Impact!
07-18-2026,Jordyn,Play the first few levels of Space Channel 5 Part 2
07-18-2026,Alex,Eat only canned beans for 1 meal
